"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
"2021","E00060395","E00060395",119,119,0
"2021","E00060396","E00060396",224,224,0
"2021","E00060417","E00060417",289,279,10
"2021","E00060418","E00060418",437,437,0
"2021","E00060426","E00060426",308,304,4
"2021","E00174088","E00174088",291,291,0
"2021","E00174097","E00174097",355,355,0
"2021","E00060534","E00060534",349,349,0
"2021","E00060544","E00060544",282,282,0
"2021","E00060545","E00060545",261,261,0
"2021","E00060547","E00060547",222,222,0
"2021","E00060548","E00060548",278,278,0
"2021","E00060379","E00060379",213,213,0
"2021","E00060382","E00060382",141,141,0
"2021","E00060383","E00060383",230,230,0
"2021","E00060384","E00060384",256,256,0
"2021","E00060391","E00060391",171,171,0
"2021","E00060392","E00060392",168,168,0
"2021","E00060394","E00060394",215,215,0
"2021","E00060397","E00060397",156,156,0
"2021","E00060398","E00060398",179,179,0
"2021","E00060399","E00060399",213,213,0
"2021","E00060865","E00060865",326,326,0
"2021","E00060866","E00060866",221,221,0
"2021","E00060875","E00060875",297,297,0
"2021","E00060877","E00060877",153,153,0
"2021","E00174112","E00174112",429,274,155
"2021","E00174119","E00174119",412,209,203
"2021","E00060986","E00060986",387,382,5
"2021","E00060987","E00060987",461,459,2
"2021","E00060990","E00060990",505,417,88
"2021","E00174110","E00174110",124,124,0
"2021","E00174111","E00174111",450,249,201
"2021","E00060989","E00060989",438,438,0
"2021","E00060991","E00060991",322,321,1
"2021","E00060992","E00060992",454,401,53
"2021","E00060993","E00060993",399,399,0
"2021","E00060997","E00060997",405,405,0
"2021","E00060869","E00060869",232,232,0
"2021","E00060871","E00060871",144,144,0
"2021","E00060873","E00060873",155,155,0
"2021","E00188254","E00188254",308,202,106
"2021","E00188282","E00188282",483,252,231
"2021","E00060867","E00060867",445,445,0
"2021","E00060868","E00060868",468,464,4
"2021","E00060874","E00060874",539,521,18
"2021","E00060878","E00060878",275,275,0
"2021","E00060984","E00060984",453,406,47
"2021","E00188220","E00188220",417,391,26
"2021","E00188234","E00188234",366,366,0
"2021","E00188239","E00188239",323,323,0
"2021","E00188265","E00188265",221,221,0
"2021","E00060988","E00060988",429,429,0
"2021","E00060995","E00060995",359,359,0
"2021","E00060998","E00060998",476,428,48
"2021","E00060812","E00060812",313,313,0
"2021","E00060826","E00060826",212,210,2
"2021","E00060828","E00060828",304,304,0
"2021","E00060829","E00060829",268,268,0
"2021","E00060830","E00060830",289,289,0
"2021","E00060832","E00060832",277,277,0
"2021","E00060810","E00060810",223,223,0
"2021","E00060824","E00060824",285,285,0
"2021","E00060825","E00060825",212,212,0
"2021","E00060827","E00060827",375,341,34
"2021","E00174106","E00174106",507,507,0
"2021","E00060813","E00060813",262,262,0
"2021","E00060815","E00060815",225,225,0
"2021","E00060817","E00060817",333,333,0
"2021","E00060820","E00060820",264,264,0
"2021","E00060822","E00060822",274,274,0
"2021","E00060831","E00060831",262,262,0
"2021","E00060811","E00060811",313,313,0
"2021","E00060814","E00060814",301,301,0
"2021","E00060818","E00060818",165,165,0
"2021","E00060819","E00060819",164,164,0
"2021","E00060821","E00060821",285,285,0
"2021","E00060701","E00060701",320,320,0
"2021","E00060702","E00060702",423,423,0
"2021","E00060709","E00060709",332,332,0
"2021","E00060711","E00060711",275,275,0
"2021","E00060726","E00060726",194,194,0
"2021","E00060704","E00060704",271,271,0
"2021","E00060705","E00060705",295,295,0
"2021","E00060706","E00060706",314,314,0
"2021","E00060708","E00060708",249,249,0
"2021","E00060717","E00060717",365,365,0
"2021","E00060699","E00060699",321,321,0
"2021","E00060710","E00060710",280,280,0
